monte ros
3CF208CD-D17A-40A0-B8CD-4EE37D8492DA enero
38F70A2F-2E20-4B73-A56A-0D68FE07B122 febrero
E6F3D7E5-B134-4B79-9F9F-C100689819E2 marzo
CF1B2471-5D22-4048-9401-0F19EAD78A27 abril
E43E9DF5-A765-43EE-B5CA-35093D86FA05 mayo
E3F8CFDA-2700-49F9-A16A-E5FC0F8F7F4A junio
A67C6B57-1FE1-475F-881A-6D6E83388D9E julio
D0A0CE77-BC82-4064-92AD-2D621E2388F9 agosto
E5D5B1BD-E7FB-42D8-B700-04C9A6B405E6 septiembre
0B5C2161-42EA-4220-AF13-A28680985BB4 octubre
noviembre ya tiene
497A7560-DDF2-4486-A98B-8C3D24B4C1EF diciembre


comercial intermodal
ADBB724-029B-43DF-AE70-162BF6262D72 ENERO
B2452A3D-2A50-46B3-BFD0-367C0B2D55B3 FEBRERO
14D139A0-F712-4A95-8A59-FF9A1B8EAFAA MARZO
7B0DFE0E-ABA5-40E3-9D36-4806B0ECEDA5 ABRIL
20DFB931-2064-4621-BCEF-D7DCC4E21732 MAYO
00F002A2-F575-4C41-A5B3-A3BC280D85E6 JUNIO
CF66AAB9-46FC-42F9-B85A-2DF4CA9B9C13 JULIO
14782822-FFC3-4012-A39E-88C54A351528 AGOSTO
26B21D8F-6C40-499F-B345-A38C5004254C SEPTIEMBRE
8DD803DC-47D4-44D6-A385-1FDF63B4E992 OCTUBRE 
B8651731-DBE5-4D7C-914D-671F72126E9D DICIEMBRE


DDR GARCIA
6266FD10-598B-4B08-9152-A116D3B674A8 enero
359AF0D4-6921-4587-8009-AD34AAC1FD4F febrero
EF8DABAF-635C-4BF5-8350-6F3BC3BCBC28 marzo
AB77026B-AF4B-471C-B83D-BB7393A40048 abril
45E5299B-1C95-4B7F-BA0F-C2CDE6847956 mayo
D38380E6-2307-4746-AC52-D09570E2223E junio
2F6355C1-5FB0-4773-8B28-DE30B5DE4B94 julio
BF73D84E-DFA4-4446-B9F8-C6CDCA908FD6 agosto
AB6A882B-AF1F-4F5C-98F2-C1C5F7F7941A septiembre
51E6DB05-45AC-4948-99D4-D7F6793F8CF6 octubre
29F1BA57-0478-4FE3-B0D4-80DCC66AA964 diciembre


comercial de metales
ECBCD327-EF75-432E-BACB-1B726FD6A690 enero
6130102D-A447-4918-BC6F-F2B3A93D3405 febrero
ED295793-6BF8-4C79-A0B4-C64927B2D2D2 marzo
6A9A4930-FDB5-44A7-82B1-4F98BECF1EE8 abril
9B7A398B-C515-416B-90B3-84636FAA5D65 mayo
9F209B6A-6761-4A1B-B314-A2825FBDDDA6 junio
4AB66CE7-7178-4B24-B1F2-3CC90DA515AC julio
150CCE54-8273-4342-B837-26F6E911694D agosto
A99AE850-E8E4-44AA-AD7B-3E19F77B0350 septiembre
A3D32E1E-E68F-4ECE-B692-1BC12EB0784F octubre
F6AB14F7-5505-48CC-9E00-F2B181ABA8F0 diciembre

INGENIERO MANUEL
33947FF8-8AA3-4BD4-8257-B0AD38DDE2B1 enero
031951AE-4A3A-493C-824F-A310AA0DC0ED febrero
:53290275-62EC-46FC-9673-319398A1DAAF marzo
5A179544-C617-46C5-87AD-BEB095FC78B1 abril
7DDE0A3C-614E-4EB4-AADB-323B3CAE77AF mayo
D7FD1011-61B3-4C3E-932B-574E49806A99 junio
163B861C-8F17-47D5-A30A-D973344DFCC8 julio
E93C86B0-12E0-46B6-B28D-975FF674FAA2 agosto
B8488141-C789-434C-9656-8225AFE6F9F1 septiemrbe
9C6B22F1-B29E-4A34-9C40-3FCE753B3F96 octubre
896C8CAE-1A67-445E-AB6D-FB463AE816DA noviembre
9D8917AD-6E0A-455B-8482-FD83BCAB2F4A diciembre



nominas cisa
B8BF353A-CC8E-4D21-8489-1BB8DA0F83AD enero
25BCBF4A-2BE0-4F58-B440-5C4CC9781CF8 febrero
D548E626-4E84-4B17-B066-65C309946438 marzo
760012BB-7364-4614-9BEE-AB122121B194 abril
87430098-3260-4532-B487-2DB53E6E9425 mayo
AD933715-464E-4EE7-9427-72A45D05EE19 junio
91CC7A6B-D88F-4AE0-A2EC-338099115C25 julio
CBB37EE8-0598-41C3-AC3F-E37EB924B5C8 agosto
B452A4AD-624B-466E-96D4-E10EA3B21035 septiembre
969EFD5F-1A6A-4BAF-85DE-21D8C45B0D38 octubre
BF61D193-F65C-4B24-A0CE-6DF56D8A0AB5 noviembre
F2F1D9E8-A3A5-4179-97C8-4F02ECD2CAC2 diciembre

nominas monte ros
997E4D90-3245-4225-9EBB-7397A4CFEC4B enero
13D56DA9-F291-4ED6-9C75-408217070BE4 febrero
022224A1-607B-4C92-83EB-26A10BEDAF11 marzo
F385D662-A44E-499C-A3C8-DF4645BE1008 abril
:C4D36855-A54D-4D2E-96BE-FE5FFF48896F mayo
0BEB191C-A937-44A4-966C-146A95FFCA28 junio
9F0CE374-8807-4935-9008-56FB42403984 julio
F004B7A6-B7FD-4AB5-9ED5-7D7F2851F5C3 agosto
E6B62289-DAE4-45C2-9A42-B95F94A627E0 septiembre
4B6AB917-3D01-4370-BBD6-FABF70CB73CE octubre
962DCBCE-017C-4553-8CB5-16676A75DDC7 noviembre
B37C9219-9FAE-49ED-A419-D5AB6FB3F7BF diciembre

























